nodes clusters
0       4
1	4
2	1
3	1
4	1
5	1
6	1
7	3
8	3
9	3
10	2
11	3
12	3
13	0
14	7
15	6
16	2
17	4
18	4
19	3
20	2
21	2
22	2
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	7
42	2
43	3
44	3
45	6
46	6
47	0
48	0
49	2
50	2
51	7
52	4
53	7
54	1
55	1
56	1
57	1
58	1
59	1
60	5
61	5
62	2
63	1
64	7
65	7
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	4
74	4
75	0
76	0
77	7
78	7
79	7
80	2
81	2
82	2
83	2
84	2
85	4
86	2
87	2
88	1
89	1
90	2
91	2
92	2
93	7
94	7
95	7
96	0
97	6
98	6
99	6
100	6
101	6
102	1
103	5
104	5
105	2
106	2
107	2
108	2
109	2
110	2
111	2
112	2
113	0
114	0
115	0
116	0
117	2
118	4
119	0
120	4
121	2
122	7
123	0
124	6
125	6
126	1
127	2
128	7
129	7
130	7
131	1
132	1
133	7
134	2
135	0
136	0
137	1
138	1
139	6
140	6
141	3
142	2
143	2
144	2
145	2
146	4
147	2
148	7
149	7
150	5
151	0
152	2
153	2
154	2
155	4
156	5
157	5
158	1
159	1
160	2
161	3
162	2
163	2
164	6
165	0
166	4
167	7
168	7
169	0
170	0
171	0
172	7
173	2
174	1
175	1
176	7
177	4
178	7
179	5
180	7
181	5
182	5
183	7
184	2
185	6
186	2
187	2
188	2
189	2
190	2
191	7
192	1
193	1
194	1
195	1
196	7
197	7
198	7
199	7
200	7
201	7
202	7
203	7
204	7
205	7
206	7
207	7
208	1
209	1
210	1
211	1
212	2
213	3
214	7
215	4
216	6
217	2
218	4
219	4
220	4
221	4
222	4
223	4
224	4
225	4
226	4
227	4
228	4
229	0
230	2
231	7
232	7
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	0
246	3
247	3
248	4
249	2
250	5
251	0
252	1
253	2
254	2
255	2
256	2
257	7
258	2
259	2
260	2
261	0
262	7
263	0
264	3
265	3
266	3
267	3
268	4
269	6
270	7
271	1
272	6
273	6
274	6
275	7
276	7
277	7
278	7
279	2
280	7
281	1
282	2
283	5
284	7
285	1
286	1
287	2
288	2
289	7
290	7
291	7
292	7
293	3
294	7
295	5
296	5
297	4
298	2
299	2
300	6
301	4
302	1
303	1
304	1
305	1
306	2
307	4
308	5
309	4
310	4
311	4
312	4
313	4
314	4
315	4
316	4
317	4
318	0
319	1
320	5
321	5
322	6
323	6
324	3
325	2
326	2
327	2
328	2
329	2
330	4
331	4
332	3
333	0
334	6
335	6
336	0
337	0
338	0
339	0
340	2
341	4
342	7
343	7
344	7
345	7
346	7
347	7
348	7
349	7
350	7
351	7
352	7
353	6
354	6
355	2
356	2
357	2
358	3
359	3
360	3
361	0
362	3
363	2
364	2
365	3
366	2
367	0
368	5
369	1
370	0
371	6
372	2
373	1
374	3
375	2
376	5
377	5
378	5
379	5
380	5
381	5
382	5
383	5
384	5
385	5
386	5
387	5
388	5
389	5
390	5
391	5
392	5
393	5
394	5
395	5
396	5
397	5
398	5
399	7
400	2
401	7
402	7
403	7
404	6
405	2
406	3
407	3
408	1
409	0
410	2
411	1
412	1
413	7
414	5
415	5
416	2
417	0
418	2
419	7
420	4
421	3
422	2
423	0
424	2
425	7
426	7
427	0
428	6
429	6
430	3
431	2
432	2
433	2
434	2
435	4
436	0
437	0
438	0
439	0
440	7
441	3
442	0
443	0
444	0
445	7
446	6
447	6
448	6
449	5
450	7
451	3
452	3
453	2
454	2
455	0
456	2
457	7
458	7
459	4
460	2
461	6
462	2
463	2
464	7
465	4
466	3
467	2
468	4
469	2
470	0
471	2
472	2
473	2
474	2
475	6
476	2
477	2
478	2
479	5
480	2
481	1
482	7
483	7
484	7
485	0
486	7
487	3
488	3
489	2
490	2
491	5
492	2
493	7
494	2
495	4
496	3
497	7
498	3
499	3
500	3
501	3
502	3
503	3
504	3
505	3
506	3
507	4
508	2
509	2
510	3
511	4
512	2
513	2
514	2
515	7
516	1
517	1
518	2
519	4
520	1
521	2
522	7
523	7
524	2
525	3
526	7
527	0
528	1
529	3
530	3
531	7
532	1
533	3
534	7
535	2
536	2
537	4
538	2
539	7
540	2
541	4
542	7
543	7
544	7
545	0
546	2
547	0
548	2
549	2
550	2
551	2
552	1
553	2
554	2
555	3
556	7
557	7
558	3
559	2
